71,"Alagoinhas","Brazil",-12.135600,-38.419200,152327,25.1000000000,0.786
72,"Alamadi","India",13.109700,80.097200,344701,423.8000000000,0.685
73,"Bergamo","Italy",45.695000,9.670000,119534,2973.9000000000,0.915
74,"Alanya","Turkey",36.550000,32.000000,364180,218.2000000000,0.853
75,"Bergen","Norway",60.392500,5.323300,291189,603.2000000000,0.970
76,"Alasandigutta","India",15.624400,77.273100,184625,423.8000000000,0.685
77,"Alasehir","Turkey",38.350000,28.516700,104717,103.8000000000,0.853
78,"Albacete","Spain",38.995600,-1.855800,174137,152.7000000000,0.918
79,"Bergisch Gladbach","Germany",50.991800,7.130300,112660,1356.2000000000,0.959
80,"Albany","United States of America",42.666400,-73.798700,602242,501.4000000000,0.938
81,"Alberton","South Africa",-26.267200,28.121900,121536,49.2000000000,0.741
82,"Albuquerque","United States of America",35.105400,-106.646500,767499,35.5000000000,0.938
83,"Alcala de Henares","Spain",40.466700,-3.366700,196888,2230.0000000000,0.918
84,"Berkeley","United States of America",37.872200,-122.276000,120223,35.5000000000,0.938
85,"Berlin","Germany",52.520000,13.405000,4679500,4218.1000000000,0.959
86,"Bern","Switzerland",46.948000,7.447400,134506,2607.4000000000,0.970
87,"Bernal","Argentina",-34.700000,-58.283300,109914,16.4000000000,0.865
88,"Berrouaghia","Algeria",36.133300,2.916700,118678,18.7000000000,0.763
89,"Alcobendas","Spain",40.533300,-3.633300,117041,2583.6000000000,0.918
90,"Alcorcon","Spain",40.350000,-3.833300,173625,5063.4000000000,0.918
91,"Aleppo","Syria",36.231900,37.168100,2003671,98.7000000000,0.564
92,"Alexandria","Egypt",31.197500,29.892500,4870000,3892.0000000000,0.754
93,"Algeciras","Spain",36.127500,-5.453900,124978,1388.3000000000,0.918
94,"Algiers","Algeria",36.732500,3.087200,2364230,18.7000000000,0.763
95,"Aliaga","Turkey",38.800800,26.972800,104828,1.7000000000,0.853
96,"Alicante","Spain",38.345300,-0.483100,358720,92.4000000000,0.918
97,"Aligarh","India",27.880000,78.080000,1131160,423.8000000000,0.685
98,"Abertawe","United Kingdom",51.616700,-3.950000,246700,280.8000000000,0.946
99,"Abha","Saudi Arabia",18.216700,42.500000,236157,16.4000000000,0.900
100,"Alkmaar","Netherlands",52.633300,4.750000,111766,945.7000000000,0.955
101,"Abhepur","India",39.410000,116.380000,1895686,423.8000000000,0.685
102,"Allada","Benin",6.650000,2.150000,127512,110.6000000000,0.515
103,"Abi al Khasib","Iraq",30.446400,47.978100,240300,93.9000000000,0.695
104,"Besancon","France",47.240000,6.020000,120057,1829.3000000000,0.920
105,"Allen","United States of America",33.108800,-96.673500,107684,35.5000000000,0.938
106,"Abidjan","Ivory Coast",5.336400,-4.026700,4980000,83.9000000000,0.582
107,"Abiko","Japan",35.866700,140.033300,130290,333.5000000000,0.925
108,"Abilene","United States of America",32.454300,-99.738400,127130,35.5000000000,0.938
109,"Bet Shemesh","Israel",31.751400,34.988600,118700,423.2000000000,0.919
110,"Allentown","United States of America",40.596100,-75.475600,632175,35.5000000000,0.938
111,"Alleppey","India",9.490000,76.330000,240991,423.8000000000,0.685
112,"Abohar","India",30.133400,74.200100,145302,423.8000000000,0.685
113,"Azare","Nigeria",11.674200,10.191100,105687,228.8000000000,0.560
114,"Almada","Portugal",38.680300,-9.158300,177238,2578.2000000000,0.890
115,"Aboisso","Ivory Coast",5.466700,-3.200000,100903,83.9000000000,0.582
116,"Almaty","Kazakhstan",43.240000,76.915000,2228675,7.0000000000,0.837
117,"Ba Don","Vietnam",17.754700,106.423100,134000,296.4000000000,0.766
118,"Almere","Netherlands",52.366700,5.216700,214715,1565.7000000000,0.955
119,"Ba Ria","Vietnam",10.499200,107.167500,235192,296.4000000000,0.766
120,"Almeria","Spain",36.841700,-2.463900,202675,672.5000000000,0.918
121,"Abomey-Calavi","Benin",6.448600,2.355600,655965,110.6000000000,0.515
122,"Ba`qubah","Iraq",33.744700,44.643600,467900,93.9000000000,0.695
123,"Abu Dhabi","United Arab Emirates",24.466700,54.366700,1483000,119.5000000000,0.940
124,"Baardheere","Somalia",2.344700,42.276400,755500,25.7000000000,0.404
125,"Abu Ghurayb","Iraq",33.305600,44.184800,189000,93.9000000000,0.695
126,"Babol","Iran",36.547500,52.678300,250217,51.6000000000,0.799
127,"Almetyevsk","Russia",54.900000,52.300000,163747,8.5000000000,0.832
128,"Abu Hulayfah","Kuwait",29.132200,48.126100,164212,242.9000000000,0.852
129,"Babruysk","Belarus",53.150000,29.233300,207351,45.5000000000,0.824
130,"Almirante Tamandare","Brazil",-25.325000,-49.310000,119825,25.1000000000,0.786
131,"Abu Hummus","Egypt",31.093100,30.314200,569157,104.0000000000,0.754
132,"Alor Setar","Malaysia",6.113300,100.372900,217000,99.1000000000,0.819
133,"Abu Tisht","Egypt",26.120400,32.095400,514535,104.0000000000,0.754
134,"Alphen aan den Rijn","Netherlands",52.133300,4.666700,114182,853.6000000000,0.955
135,"Abuja","Nigeria",9.066700,7.483300,3770000,228.8000000000,0.560
136,"Altamira","Brazil",-3.202800,-52.205800,126279,161.6000000000,0.786
137,"Acailandia","Brazil",-4.946900,-47.505000,106550,25.1000000000,0.786
138,"Altay","China",47.866600,88.116600,142000,148.8000000000,0.797
139,"Babylon","United States of America",40.692500,-73.358600,217860,54.6000000000,0.938
140,"Bethelsdorp","South Africa",-33.883300,25.500000,182012,49.2000000000,0.741
141,"Bac Giang","Vietnam",21.266700,106.200000,450000,296.4000000000,0.766
142,"Altindag","Turkey",39.963600,32.903300,413994,108.5000000000,0.853
143,"Alto Hospicio","Chile",-20.250000,-70.116700,108375,237.8000000000,0.878
144,"Acapulco de Juarez","Mexico",16.863600,-99.882500,673478,448.7000000000,0.789
145,"Alwal","India",17.504700,78.503800,123031,423.8000000000,0.685
146,"Acarigua","Venezuela",9.559700,-69.201900,203358,31.3000000000,0.709
147,"Alwar","India",27.549800,76.635500,341422,423.8000000000,0.685
148,"Amadora","Portugal",38.750000,-9.233300,171454,7486.3000000000,0.890
149,"Amagasaki","Japan",34.733300,135.400000,455555,333.5000000000,0.925
150,"Amaravati","India",16.513100,80.516500,103000,423.8000000000,0.685
151,"Amarillo","United States of America",35.198400,-101.831600,205100,35.5000000000,0.938
152,"Accra","Ghana",5.546100,-0.206700,491817,133.0000000000,0.628
153,"Amarnath","India",19.209000,73.186000,253475,423.8000000000,0.685
154,"Acharnes","Greece",38.083300,23.733300,108169,78.6000000000,0.908
155,"Amasya","Turkey",40.650000,35.833100,114921,108.5000000000,0.853
156,"Bac Lieu","Vietnam",9.283300,105.716700,156110,296.4000000000,0.766
157,"Bac Ninh","Vietnam",21.183300,106.050000,287658,296.4000000000,0.766
158,"Bacabal","Brazil",-4.225000,-44.780000,103711,25.1000000000,0.786
159,"Bacau","Romania",46.583300,26.916700,136087,80.2000000000,0.845
160,"Bacolod","Philippines",10.676500,122.950900,600783,324.4000000000,0.720
161,"Bacoor","Philippines",14.462400,120.964500,664625,324.4000000000,0.720
162,"Bada Barabil","India",22.120000,85.400000,300000,423.8000000000,0.685
163,"Badajoz","Spain",38.880300,-6.975300,150570,104.1000000000,0.918
164,"Badalona","Spain",41.448900,2.246100,227083,10664.4000000000,0.918
165,"Badin","Pakistan",24.657200,68.840600,117455,61.4000000000,0.544
166,"Bafoussam","Cameroon",5.466700,10.416700,600000,57.3000000000,0.588
167,"Ad Dakhla","Morocco",23.708100,-15.945600,106277,83.6000000000,0.710
168,"Bafra","Turkey",41.572200,35.914700,143109,97.7000000000,0.853
169,"Amatitlan","Guatemala",14.483300,-90.616700,152296,57.9000000000,0.662
170,"Ad Dammam","Saudi Arabia",26.433300,50.100000,903312,16.4000000000,0.900
171,"Bagaha","India",27.099200,84.090000,120736,423.8000000000,0.685
172,"Ambala","India",30.380000,76.780000,207934,423.8000000000,0.685
173,"Ad Diwaniyah","Iraq",31.989200,44.924700,391600,93.9000000000,0.695
174,"Bagalkot","India",16.181700,75.695800,112090,423.8000000000,0.685
175,"Betim","Brazil",-19.967800,-44.197800,306675,25.1000000000,0.786
176,"Ada","Nigeria",7.895600,4.709400,174152,188.8000000000,0.560
177,"Bagam","Indonesia",1.130000,104.053100,1256610,145.1000000000,0.728
178,"Betsiboka","Madagascar",-16.866700,46.950000,394561,48.4000000000,0.487
179,"Adachi","Japan",35.783300,139.800000,682326,333.5000000000,0.925
180,"Bagcilar","Turkey",41.034400,28.856400,740069,108.5000000000,0.853
181,"Bettiah","India",26.801400,84.502800,414453,423.8000000000,0.685
182,"Ambato","Ecuador",-1.242200,-78.628900,177316,64.6000000000,0.777
183,"Betul Bazar","India",21.905000,77.902000,153330,423.8000000000,0.685
184,"Beykoz","Turkey",41.134200,29.092200,247875,796.0000000000,0.853
185,"Beylikduzu","Turkey",41.001100,28.641900,415290,10849.1000000000,0.853
186,"Bhachau","India",23.296000,70.343000,180000,423.8000000000,0.685
187,"Ambattur","India",13.114300,80.154800,466205,423.8000000000,0.685
188,"Ambikapur","India",23.120000,83.200000,121071,423.8000000000,0.685
189,"Ambon","Indonesia",-3.696700,128.178300,372249,53.9000000000,0.728
190,"Bhadrakh","India",21.054500,86.515600,122119,423.8000000000,0.685
191,"Ambovombe","Madagascar",-25.175400,46.088200,114230,48.4000000000,0.487
192,"Bhadravati","India",13.848500,75.705000,212073,423.8000000000,0.685
193,"Americana","Brazil",-22.739200,-47.331400,242018,25.1000000000,0.786
194,"Amersfoort","Netherlands",52.155000,5.387500,157462,2489.1000000000,0.955
195,"Amherst","United States of America",43.011700,-78.757000,130209,25.4000000000,0.938
196,"Bhadreswar","India",22.820000,88.350000,101477,423.8000000000,0.685
197,"Bage","Brazil",-31.330800,-54.106900,117938,25.1000000000,0.786
198,"Adana","Turkey",37.000000,35.321300,1765981,108.5000000000,0.853
199,"Bhagalpur","India",25.250000,87.000000,410210,423.8000000000,0.685
200,"Baghdad","Iraq",33.315300,44.366100,6183000,93.9000000000,0.695
201,"Addis Ababa","Ethiopia",9.030000,38.740000,5704000,106.7000000000,0.497
202,"Bhalswa Jahangirpur","India",28.735400,77.163800,151427,423.8000000000,0.685
203,"Baglar","Turkey",37.916700,40.183300,406471,687.9000000000,0.853
204,"Bhandaria","Bangladesh",22.489000,90.062700,145233,1126.9000000000,0.685
205,"Bhangar","India",22.580000,88.420000,634107,423.8000000000,0.685
206,"Bharatpur","Nepal",27.683300,84.433300,369377,201.6000000000,0.622
207,"Adelaide","Australia",-34.927500,138.600000,1387290,1826.2000000000,0.958
208,"Bago","Myanmar",17.333300,96.483300,284179,81.0000000000,0.609
209,"Aden","Yemen",12.800000,45.033300,863000,57.8000000000,0.470
210,"Bagong Silangan","Philippines",14.709400,121.100000,106886,324.4000000000,0.720
211,"Adilabad","India",19.670000,78.530000,117167,423.8000000000,0.685
212,"Bagu Na Mohra","Pakistan",33.220000,73.210000,108784,255.4000000000,0.544
213,"Adiyaman","Turkey",37.763900,38.277800,267131,108.5000000000,0.853
214,"Baguio City","Philippines",16.411900,120.593300,366358,324.4000000000,0.720
215,"Adjaouere","Benin",7.000000,2.616700,115953,110.6000000000,0.515
216,"Bahar","Iran",34.907800,48.439400,673405,51.6000000000,0.799
217,"Ado-Ekiti","Nigeria",7.621100,5.221400,446749,228.8000000000,0.560
218,"Amiens","France",49.892000,2.299000,134780,2651.2000000000,0.920
219,"Baharampur","India",24.100000,88.250000,195223,423.8000000000,0.685
220,"Adonara","Indonesia",-8.250000,123.150000,132345,145.1000000000,0.728
221,"Amman","Jordan",31.949700,35.932800,4007526,114.9000000000,0.754
222,"Bahawalnagar","Pakistan",29.992800,73.253600,141935,255.4000000000,0.544
223,"Adoni","India",15.627900,77.274900,166344,423.8000000000,0.685
224,"Bahawalpur","Pakistan",29.395600,71.683600,762111,255.4000000000,0.544
225,"Adzope","Ivory Coast",6.103500,-3.864800,156488,83.9000000000,0.582
226,"Bahia Blanca","Argentina",-38.716700,-62.266700,301572,16.4000000000,0.865
227,"Amol","Iran",36.470300,52.346700,237528,51.6000000000,0.799
228,"Amravati","India",20.925800,77.764700,549370,423.8000000000,0.685
229,"Afdem","Ethiopia",9.466700,41.000000,112840,106.7000000000,0.497
230,"Aflou","Algeria",34.108900,2.101900,102025,18.7000000000,0.763
231,"Bahir Dar","Ethiopia",11.600000,37.383300,243300,106.7000000000,0.497
232,"Bharuch","India",21.712000,72.993000,158253,423.8000000000,0.685
233,"Amreli","India",21.600600,71.216400,117967,423.8000000000,0.685
234,"Afyonkarahisar","Turkey",38.757800,30.538600,251799,108.5000000000,0.853
235,"Bahraigh","India",27.575000,81.594000,186223,423.8000000000,0.685
